id,longitude,latitude,path,url,borough,source
391667738085900,-73.99341842151696,40.63033329968473,./data/all/Brooklyn/391667738085900.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.63033,-73.99342&heading=322&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Brooklyn,Google Maps
702979062056016,-73.91365716152286,40.60902086034631,./data/all/Brooklyn/702979062056016.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.60902,-73.91366&heading=90&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Brooklyn,Google Maps
488840315694611,-73.877196666667,40.893796666667,./data/all/Bronx/488840315694611.jpg,https://scontent-lga3-1.xx.fbcdn.net/m1/v/t6/An-ICq-8vJ8y5Or7WhKPW684Hv7ut3vYcrXLWgPWK7ujXYckNwLCYqFwRrQYxgoV4Bpyr9XDYkyPg4cXvRJMdtGjSq4YqELV8PbFGbgfnkkQeI5eYfrevyUw5D3j4_xKfCfVUh1XOJMTjlExDn2o64Y?stp=s2048x1365&ccb=10-5&oh=00_AfD64QIS3Lq_dTUxu0trnTu554iCu8CHSR_4wIEZ9CpY5w&oe=656B9693&_nc_sid=201bca,Bronx,Mapillary
477917698479098,-73.78280990474283,40.75370829306029,./data/all/Queens/477917698479098.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.75371,-73.78281&heading=245&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Queens,Google Maps
851067596596194,-73.98876641533667,40.71632461508704,./data/all/Manhattan/851067596596194.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.71632,-73.98877&heading=239&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Manhattan,Google Maps
471617198869010,-73.91056495196011,40.820999159886085,./data/all/Bronx/471617198869010.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.82100,-73.91056&heading=127&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Bronx,Google Maps
824674233485396,-73.9706679311961,40.79992283198282,./data/all/Manhattan/824674233485396.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.79992,-73.97067&heading=348&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Manhattan,Google Maps
947242986052339,-73.813027294441,40.820991000879,./data/all/Bronx/947242986052339.jpg,https://scontent-lga3-1.xx.fbcdn.net/m1/v/t6/An8c4ImKSlVh653VxtAwNWWFy9JhA3jTn4sYefLkTcL6PKfc9PKBQY5OyukFRN02g2zBNneM4YYGCpKfaYBvNKfR5zKh0hCrkfkb4uwbZxH7Fvp5p83TA7bR5OYbbubhb4UOTz-V9-EzdJgNfKTkTw?stp=s2048x1152&ccb=10-5&oh=00_AfDsMUx8D692urzWnK8c7XWVVHsYqFgVc0ZTkdlbz_BP5A&oe=656B9FD7&_nc_sid=201bca,Bronx,Mapillary
963917233216756,-73.76988711412011,40.76617184622486,./data/all/Queens/963917233216756.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.76617,-73.76989&heading=155&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Queens,Google Maps
617874596843289,-73.93461899989198,40.65481135666692,./data/all/Brooklyn/617874596843289.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.65481,-73.93462&heading=304&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Brooklyn,Google Maps
739544947944080,-73.76660336584587,40.74995839868853,./data/all/Queens/739544947944080.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.74996,-73.76660&heading=162&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Queens,Google Maps
119502030153428,-73.872091666667,40.88083,./data/all/Bronx/119502030153428.jpg,https://scontent-lga3-1.xx.fbcdn.net/m1/v/t6/An_2bGy6MZJROQ1mN_9ghPiNvPIkiBP1OgBlbzz9wRqHt6Oa5pebTAGoORnMBfVqsHp8F64GhWYn7oE27I0zHIOO1arLOocPOUYVFxWibuZDRsbv9e9ZPnCmmBqQ4Rfh1ZGAdy1Qy_8NsTQSE2SPdg?stp=s2048x1365&ccb=10-5&oh=00_AfDvuES8khiC6AagbUc9Y8Fl4WdPz8_jkAgDZmBxLsMUJw&oe=656B84F1&_nc_sid=201bca,Bronx,Mapillary
423668252318303,-73.90248165946973,40.84746561284146,./data/all/Bronx/423668252318303.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.84747,-73.90248&heading=118&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Bronx,Google Maps
776804123786493,-73.99788793692436,40.70923773423103,./data/all/Manhattan/776804123786493.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.70924,-73.99789&heading=107&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Manhattan,Google Maps
339155736740661,-74.0229934672112,40.64402563798704,./data/all/Brooklyn/339155736740661.jpg,"https://maps.googleapis.com/maps/api/streetview?location=40.64403,-74.02299&heading=145&radius=50&size=640x640&return_error_code=true&key=AIzaSyCkVRadz7YwHu98tIGQvl-LIWILdEs3i_4",Brooklyn,Google Maps
